anime_id,anime_url,title,synopsis,genres,type,studio,aired_date,episodes,members,rating_class
35335,https://myanimelist.net35335,Anime Legend Chronicles Vol. 11,"A thrilling psychological game where players must bet their memories to win millions. Trust no one, betray everyone. [Episode ID: 63]","Thriller, Action, Fantasy, Comedy",TV,A-1 Pictures,Nov 1998,8.0,8200,Low
28058,https://myanimelist.net28058,Anime Legend Chronicles Vol. 12,A comedic slice-of-life story about five high school girls starting their own rock band... containing cute moments and songs. [Episode ID: 67],"Comedy, Romance, Drama, Fantasy",TV,Studio_Alpha_134,"Apr 03, 1997",37.0,12284,Low
51309,https://myanimelist.net51309,Anime Legend Chronicles Vol. 13,"A thrilling psychological game where players must bet their memories to win millions. Trust no one, betray everyone. [Episode ID: 45]","Supernatural, Thriller, Slice of Life",Movie,Studio_Alpha_281,Apr 2010,14.0,1399,Low
55644,https://myanimelist.net55644,Anime Legend Chronicles Vol. 14,"In a world devastated by magic, a young warrior seeks revenge against the dark lord. Along the way, friends are made and lost!! [Episode ID: 30]","Drama, Supernatural, Action, Romance",Special,Studio_Alpha_176,"Nov 06, 2007",,11007,Low
48610,https://myanimelist.net48610,Anime Legend Chronicles Vol. 15,An ancient curse awakens in modern-day Tokyo! A regular student inherits the powers of a dragon god to save his childhood friend. [Episode ID: 53],"Action, Slice of Life",Movie,Studio_Alpha_66,2006-05-03,11.0,11438,Low
75149,https://myanimelist.net75149,Anime Legend Chronicles Vol. 16,Space captain Jack navigates the dangerous outer rims of galaxy 9. Will he survive the alien invasion? Find out in 2026! [Episode ID: 29],"Adventure, Comedy, Drama, Fantasy",TV,Studio_Alpha_68,"Jul 21, 1999",41.0,22515,High
56136,https://myanimelist.net56136,Anime Legend Chronicles Vol. 17,A comedic slice-of-life story about five high school girls starting their own rock band... containing cute moments and songs. [Episode ID: 53],"Adventure, Comedy, Thriller, Sci-Fi",Movie,Studio_Alpha_175,Apr 2007,31.0,2305,Low
79547,https://myanimelist.net79547,Anime Legend Chronicles Vol. 18,"In a world devastated by magic, a young warrior seeks revenge against the dark lord. Along the way, friends are made and lost!! [Episode ID: 21]",Sci-Fi,OVA,Studio_Alpha_295,2006-08-18,12.0,8803,Low
17754,https://myanimelist.net17754,Anime Legend Chronicles Vol. 19,An ancient curse awakens in modern-day Tokyo! A regular student inherits the powers of a dragon god to save his childhood friend. [Episode ID: 22],Supernatural,Special,Studio_Alpha_268,Oct 1996,41.0,2446,Low
48502,https://myanimelist.net48502,Anime Legend Chronicles Vol. 20,Space captain Jack navigates the dangerous outer rims of galaxy 9. Will he survive the alien invasion? Find out in 2026! [Episode ID: 54],Comedy,TV,Madhouse,Jun 2004,5.0,12516,Low
23714,https://myanimelist.net23714,Anime Legend Chronicles Vol. 21,"A thrilling psychological game where players must bet their memories to win millions. Trust no one, betray everyone. [Episode ID: 43]","Adventure, Supernatural, Comedy, Romance",TV,Studio_Alpha_136,Aug 2019,3.0,1270,Low
97477,https://myanimelist.net97477,Anime Legend Chronicles Vol. 22,"In a world devastated by magic, a young warrior seeks revenge against the dark lord. Along the way, friends are made and lost!! [Episode ID: 68]",Slice of Life,TV,Studio_Alpha_290,1993-10-05,6.0,6672,Low
62533,https://myanimelist.net62533,Anime Legend Chronicles Vol. 23,"A thrilling psychological game where players must bet their memories to win millions. Trust no one, betray everyone. [Episode ID: 25]",Romance,TV,Studio_Alpha_276,"Jul 04, 2017",9.0,21972,Low
74349,https://myanimelist.net74349,Anime Legend Chronicles Vol. 24,An ancient curse awakens in modern-day Tokyo! A regular student inherits the powers of a dragon god to save his childhood friend. [Episode ID: 20],"Thriller, Action, Adventure, Supernatural",TV,Studio_Alpha_170,Jan 2006,44.0,4975,Low
67740,https://myanimelist.net67740,Anime Legend Chronicles Vol. 25,"A thrilling psychological game where players must bet their memories to win millions. Trust no one, betray everyone. [Episode ID: 47]","Thriller, Comedy, Drama, Slice of Life",TV,Studio_Alpha_77,"May 18, 2019",,10140,High
28291,https://myanimelist.net28291,Anime Legend Chronicles Vol. 26,"A thrilling psychological game where players must bet their memories to win millions. Trust no one, betray everyone. [Episode ID: 56]","Thriller, Supernatural",TV,Studio Pierrot,Mar 1991,30.0,13908,Low
8777,https://myanimelist.net8777,Anime Legend Chronicles Vol. 27,"A thrilling psychological game where players must bet their memories to win millions. Trust no one, betray everyone. [Episode ID: 34]","Romance, Supernatural",TV,Studio_Alpha_231,"Feb 13, 1994",13.0,62085,Low
86081,https://myanimelist.net86081,Anime Legend Chronicles Vol. 28,"In a world devastated by magic, a young warrior seeks revenge against the dark lord. Along the way, friends are made and lost!! [Episode ID: 15]","Drama, Fantasy",TV,Studio_Alpha_299,"Jul 03, 1990",2.0,14074,Low
82722,https://myanimelist.net82722,Anime Legend Chronicles Vol. 29,A comedic slice-of-life story about five high school girls starting their own rock band... containing cute moments and songs. [Episode ID: 47],"Fantasy, Slice of Life, Action, Adventure",OVA,Toei Animation,2009-03-18,59.0,7846,Low
58025,https://myanimelist.net58025,Anime Legend Chronicles Vol. 30,"In a world devastated by magic, a young warrior seeks revenge against the dark lord. Along the way, friends are made and lost!! [Episode ID: 39]","Action, Romance, Slice of Life",TV,Studio_Alpha_270,2010-12-23,13.0,22905,High
84097,https://myanimelist.net84097,Anime Legend Chronicles Vol. 31,"In a world devastated by magic, a young warrior seeks revenge against the dark lord. Along the way, friends are made and lost!! [Episode ID: 58]","Slice of Life, Supernatural, Romance",Movie,Studio_Alpha_0,"Jan 24, 2014",6.0,33229,Low
17935,https://myanimelist.net17935,Anime Legend Chronicles Vol. 32,Space captain Jack navigates the dangerous outer rims of galaxy 9. Will he survive the alien invasion? Find out in 2026! [Episode ID: 68],"Drama, Sci-Fi",TV,Studio_Alpha_117,Jun 2018,11.0,2784,Low
59083,https://myanimelist.net59083,Anime Legend Chronicles Vol. 33,Space captain Jack navigates the dangerous outer rims of galaxy 9. Will he survive the alien invasion? Find out in 2026! [Episode ID: 30],"Slice of Life, Action, Thriller",TV,Ufotable,1998-02-11,36.0,3059,Low
61290,https://myanimelist.net61290,Anime Legend Chronicles Vol. 34,Space captain Jack navigates the dangerous outer rims of galaxy 9. Will he survive the alien invasion? Find out in 2026! [Episode ID: 55],"Drama, Adventure, Comedy, Romance",Special,Bones,"Apr 21, 2000",19.0,15828,Low
37878,https://myanimelist.net37878,Anime Legend Chronicles Vol. 35,A comedic slice-of-life story about five high school girls starting their own rock band... containing cute moments and songs. [Episode ID: 95],"Adventure, Sci-Fi",Movie,Studio_Alpha_245,2011-12-18,6.0,86565,Low
75073,https://myanimelist.net75073,Anime Legend Chronicles Vol. 36,Space captain Jack navigates the dangerous outer rims of galaxy 9. Will he survive the alien invasion? Find out in 2026! [Episode ID: 99],"Sci-Fi, Action, Thriller",Movie,Studio_Alpha_179,Sep 2016,13.0,8432,Low
47253,https://myanimelist.net47253,Anime Legend Chronicles Vol. 37,"In a world devastated by magic, a young warrior seeks revenge against the dark lord. Along the way, friends are made and lost!! [Episode ID: 87]","Action, Sci-Fi, Comedy, Supernatural",Movie,Studio_Alpha_153,Mar 2010,23.0,54191,Low
58100,https://myanimelist.net58100,Anime Legend Chronicles Vol. 38,A comedic slice-of-life story about five high school girls starting their own rock band... containing cute moments and songs. [Episode ID: 78],Supernatural,TV,Studio_Alpha_246,Sep 2018,9.0,77087,Low
56325,https://myanimelist.net56325,Anime Legend Chronicles Vol. 39,A comedic slice-of-life story about five high school girls starting their own rock band... containing cute moments and songs. [Episode ID: 30],"Thriller, Drama, Fantasy, Sci-Fi",Movie,Sunrise,"Mar 02, 1999",7.0,90112,Low
53406,https://myanimelist.net53406,Anime Legend Chronicles Vol. 40,An ancient curse awakens in modern-day Tokyo! A regular student inherits the powers of a dragon god to save his childhood friend. [Episode ID: 58],"Fantasy, Action, Thriller",TV,Sunrise,2021-07-23,9.0,1664,Low
93220,https://myanimelist.net93220,Anime Legend Chronicles Vol. 41,Space captain Jack navigates the dangerous outer rims of galaxy 9. Will he survive the alien invasion? Find out in 2026! [Episode ID: 91],"Supernatural, Thriller, Drama",OVA,,May 2013,13.0,97510,High
16902,https://myanimelist.net16902,Anime Legend Chronicles Vol. 42,"A thrilling psychological game where players must bet their memories to win millions. Trust no one, betray everyone. [Episode ID: 38]",Adventure,Movie,Studio_Alpha_149,"May 04, 2022",11.0,83834,Low
67688,https://myanimelist.net67688,Anime Legend Chronicles Vol. 43,Space captain Jack navigates the dangerous outer rims of galaxy 9. Will he survive the alien invasion? Find out in 2026! [Episode ID: 17],"Adventure, Fantasy, Slice of Life",OVA,Studio_Alpha_307,2008-03-17,42.0,31900,Low
31499,https://myanimelist.net31499,Anime Legend Chronicles Vol. 44,A comedic slice-of-life story about five high school girls starting their own rock band... containing cute moments and songs. [Episode ID: 14],Adventure,OVA,Madhouse,2011-03-13,18.0,8567,Low
24444,https://myanimelist.net24444,Anime Legend Chronicles Vol. 45,Space captain Jack navigates the dangerous outer rims of galaxy 9. Will he survive the alien invasion? Find out in 2026! [Episode ID: 61],"Drama, Sci-Fi",OVA,Ufotable,Oct 2018,19.0,11235,Low
6854,https://myanimelist.net6854,Anime Legend Chronicles Vol. 46,Space captain Jack navigates the dangerous outer rims of galaxy 9. Will he survive the alien invasion? Find out in 2026! [Episode ID: 18],Drama,TV,MAPPA,Feb 2005,20.0,18759,Low
6473,https://myanimelist.net6473,Anime Legend Chronicles Vol. 47,A comedic slice-of-life story about five high school girls starting their own rock band... containing cute moments and songs. [Episode ID: 82],"Supernatural, Slice of Life, Adventure, Comedy",TV,Studio_Alpha_139,Feb 2008,7.0,31440,Low
38469,https://myanimelist.net38469,Anime Legend Chronicles Vol. 48,Space captain Jack navigates the dangerous outer rims of galaxy 9. Will he survive the alien invasion? Find out in 2026! [Episode ID: 37],"Supernatural, Adventure, Action, Fantasy",OVA,Studio_Alpha_71,Mar 2005,6.0,2894,Low
72443,https://myanimelist.net72443,Anime Legend Chronicles Vol. 49,An ancient curse awakens in modern-day Tokyo! A regular student inherits the powers of a dragon god to save his childhood friend. [Episode ID: 60],"Slice of Life, Thriller, Action, Romance",TV,Studio_Alpha_180,Feb 2011,21.0,2561,Low
37205,https://myanimelist.net37205,Anime Legend Chronicles Vol. 50,An ancient curse awakens in modern-day Tokyo! A regular student inherits the powers of a dragon god to save his childhood friend. [Episode ID: 28],"Drama, Fantasy",TV,Sunrise,Mar 2000,4.0,113353,Low
68372,https://myanimelist.net68372,Anime Legend Chronicles Vol. 51,Space captain Jack navigates the dangerous outer rims of galaxy 9. Will he survive the alien invasion? Find out in 2026! [Episode ID: 27],"Sci-Fi, Romance, Fantasy",TV,Studio_Alpha_311,1998-04-21,22.0,31810,Low
24288,https://myanimelist.net24288,Anime Legend Chronicles Vol. 52,A comedic slice-of-life story about five high school girls starting their own rock band... containing cute moments and songs. [Episode ID: 81],"Romance, Slice of Life, Fantasy",TV,Studio Pierrot,2011-05-11,11.0,12379,Low
86426,https://myanimelist.net86426,Anime Legend Chronicles Vol. 53,"A thrilling psychological game where players must bet their memories to win millions. Trust no one, betray everyone. [Episode ID: 43]",Drama,Movie,Studio_Alpha_317,"Nov 29, 2003",10.0,13523,Low
23441,https://myanimelist.net23441,Anime Legend Chronicles Vol. 54,"A thrilling psychological game where players must bet their memories to win millions. Trust no one, betray everyone. [Episode ID: 64]","Romance, Fantasy, Action, Slice of Life",Special,Studio_Alpha_19,Dec 1999,20.0,50238,High
35824,https://myanimelist.net35824,Anime Legend Chronicles Vol. 55,"A thrilling psychological game where players must bet their memories to win millions. Trust no one, betray everyone. [Episode ID: 61]","Drama, Comedy, Sci-Fi, Thriller",TV,Studio Pierrot,Dec 2010,8.0,14232,Low
61968,https://myanimelist.net61968,Anime Legend Chronicles Vol. 56,Space captain Jack navigates the dangerous outer rims of galaxy 9. Will he survive the alien invasion? Find out in 2026! [Episode ID: 38],"Slice of Life, Supernatural",OVA,Studio_Alpha_102,"Dec 13, 1996",23.0,1245,Low
60697,https://myanimelist.net60697,Anime Legend Chronicles Vol. 57,A comedic slice-of-life story about five high school girls starting their own rock band... containing cute moments and songs. [Episode ID: 75],"Adventure, Sci-Fi",TV,Studio_Alpha_264,"Apr 19, 2001",14.0,70657,Low
1788,https://myanimelist.net1788,Anime Legend Chronicles Vol. 58,An ancient curse awakens in modern-day Tokyo! A regular student inherits the powers of a dragon god to save his childhood friend. [Episode ID: 21],"Sci-Fi, Slice of Life, Comedy, Fantasy",Movie,Studio_Alpha_306,"May 13, 2001",23.0,398640,Low
49923,https://myanimelist.net49923,Anime Legend Chronicles Vol. 59,"In a world devastated by magic, a young warrior seeks revenge against the dark lord. Along the way, friends are made and lost!! [Episode ID: 24]","Slice of Life, Drama",OVA,Studio_Alpha_180,"Aug 16, 2016",8.0,21191,Low
8144,https://myanimelist.net8144,Anime Legend Chronicles Vol. 60,A comedic slice-of-life story about five high school girls starting their own rock band... containing cute moments and songs. [Episode ID: 90],Supernatural,Movie,Studio_Alpha_123,Nov 2015,6.0,116316,Low
10237,https://myanimelist.net10237,Anime Legend Chronicles Vol. 61,A comedic slice-of-life story about five high school girls starting their own rock band... containing cute moments and songs. [Episode ID: 97],"Supernatural, Drama, Action, Adventure",TV,,"Jan 18, 2020",23.0,677,Low
85288,https://myanimelist.net85288,Anime Legend Chronicles Vol. 62,An ancient curse awakens in modern-day Tokyo! A regular student inherits the powers of a dragon god to save his childhood friend. [Episode ID: 86],Sci-Fi,TV,Studio_Alpha_238,Aug 1993,18.0,33682,Low
45796,https://myanimelist.net45796,Anime Legend Chronicles Vol. 63,"In a world devastated by magic, a young warrior seeks revenge against the dark lord. Along the way, friends are made and lost!! [Episode ID: 59]","Fantasy, Comedy, Drama",Special,,2022-01-17,1.0,711,Low
95414,https://myanimelist.net95414,Anime Legend Chronicles Vol. 64,An ancient curse awakens in modern-day Tokyo! A regular student inherits the powers of a dragon god to save his childhood friend. [Episode ID: 86],"Comedy, Fantasy",TV,,Oct 2022,10.0,8340,Low
43143,https://myanimelist.net43143,Anime Legend Chronicles Vol. 65,An ancient curse awakens in modern-day Tokyo! A regular student inherits the powers of a dragon god to save his childhood friend. [Episode ID: 77],Romance,TV,Studio_Alpha_181,2022-01-23,28.0,29291,Low
29171,https://myanimelist.net29171,Anime Legend Chronicles Vol. 66,Space captain Jack navigates the dangerous outer rims of galaxy 9. Will he survive the alien invasion? Find out in 2026! [Episode ID: 80],"Adventure, Supernatural, Sci-Fi",TV,Toei Animation,"May 13, 1998",22.0,1950,High
50852,https://myanimelist.net50852,Anime Legend Chronicles Vol. 67,"In a world devastated by magic, a young warrior seeks revenge against the dark lord. Along the way, friends are made and lost!! [Episode ID: 97]","Supernatural, Drama, Romance",OVA,Ufotable,"Apr 30, 1994",12.0,5158,Low
93824,https://myanimelist.net93824,Anime Legend Chronicles Vol. 68,"In a world devastated by magic, a young warrior seeks revenge against the dark lord. Along the way, friends are made and lost!! [Episode ID: 97]","Action, Slice of Life, Drama, Comedy",Movie,Studio_Alpha_316,2011-12-13,39.0,3923,Low
49182,https://myanimelist.net49182,Anime Legend Chronicles Vol. 69,"A thrilling psychological game where players must bet their memories to win millions. Trust no one, betray everyone. [Episode ID: 44]","Romance, Slice of Life, Fantasy",Movie,Studio_Alpha_197,2017-02-03,,54619,Low
81426,https://myanimelist.net81426,Anime Legend Chronicles Vol. 70,Space captain Jack navigates the dangerous outer rims of galaxy 9. Will he survive the alien invasion? Find out in 2026! [Episode ID: 24],"Comedy, Adventure, Sci-Fi, Slice of Life",Movie,Studio_Alpha_194,Aug 2002,15.0,7618,Low
76011,https://myanimelist.net76011,Anime Legend Chronicles Vol. 71,Space captain Jack navigates the dangerous outer rims of galaxy 9. Will he survive the alien invasion? Find out in 2026! [Episode ID: 65],"Supernatural, Fantasy, Adventure",OVA,Studio Pierrot,2014-03-18,11.0,7626,Low
28537,https://myanimelist.net28537,Anime Legend Chronicles Vol. 72,A comedic slice-of-life story about five high school girls starting their own rock band... containing cute moments and songs. [Episode ID: 68],"Fantasy, Adventure, Romance, Action",TV,Studio_Alpha_65,"Nov 06, 1997",2.0,36898,Low
1585,https://myanimelist.net1585,Anime Legend Chronicles Vol. 73,"In a world devastated by magic, a young warrior seeks revenge against the dark lord. Along the way, friends are made and lost!! [Episode ID: 43]","Action, Sci-Fi, Thriller, Adventure",TV,Studio_Alpha_188,2006-12-02,22.0,55204,Low
38833,https://myanimelist.net38833,Anime Legend Chronicles Vol. 74,"A thrilling psychological game where players must bet their memories to win millions. Trust no one, betray everyone. [Episode ID: 32]","Adventure, Supernatural",TV,Studio_Alpha_73,2017-03-21,3.0,2208,Low
92473,https://myanimelist.net92473,Anime Legend Chronicles Vol. 75,"A thrilling psychological game where players must bet their memories to win millions. Trust no one, betray everyone. [Episode ID: 23]",Romance,TV,Studio_Alpha_197,"Aug 04, 2019",3.0,499887,Low
74436,https://myanimelist.net74436,Anime Legend Chronicles Vol. 76,Space captain Jack navigates the dangerous outer rims of galaxy 9. Will he survive the alien invasion? Find out in 2026! [Episode ID: 91],Fantasy,TV,Studio_Alpha_245,Dec 1998,46.0,133291,Low
16618,https://myanimelist.net16618,Anime Legend Chronicles Vol. 77,"A thrilling psychological game where players must bet their memories to win millions. Trust no one, betray everyone. [Episode ID: 87]",Drama,Movie,Studio_Alpha_229,"Aug 17, 2002",17.0,286646,Low
81330,https://myanimelist.net81330,Anime Legend Chronicles Vol. 78,A comedic slice-of-life story about five high school girls starting their own rock band... containing cute moments and songs. [Episode ID: 29],"Fantasy, Slice of Life, Romance",OVA,Studio_Alpha_79,"Dec 25, 2012",69.0,8556,High
7809,https://myanimelist.net7809,Anime Legend Chronicles Vol. 79,Space captain Jack navigates the dangerous outer rims of galaxy 9. Will he survive the alien invasion? Find out in 2026! [Episode ID: 30],Thriller,Movie,Studio_Alpha_118,"Jan 12, 2013",46.0,44117,Low
13820,https://myanimelist.net13820,Anime Legend Chronicles Vol. 80,"A thrilling psychological game where players must bet their memories to win millions. Trust no one, betray everyone. [Episode ID: 77]","Supernatural, Drama, Slice of Life",TV,Studio_Alpha_271,Oct 2007,15.0,17245,High
56169,https://myanimelist.net56169,Anime Legend Chronicles Vol. 81,"In a world devastated by magic, a young warrior seeks revenge against the dark lord. Along the way, friends are made and lost!! [Episode ID: 86]","Fantasy, Action, Comedy, Thriller",Movie,,Jun 2016,12.0,199428,Low
88692,https://myanimelist.net88692,Anime Legend Chronicles Vol. 82,Space captain Jack navigates the dangerous outer rims of galaxy 9. Will he survive the alien invasion? Find out in 2026! [Episode ID: 72],"Supernatural, Romance",TV,Studio_Alpha_88,May 2006,20.0,1542,Low
27090,https://myanimelist.net27090,Anime Legend Chronicles Vol. 83,"In a world devastated by magic, a young warrior seeks revenge against the dark lord. Along the way, friends are made and lost!! [Episode ID: 24]","Drama, Thriller, Action",OVA,Studio_Alpha_54,Dec 2002,17.0,421606,Low
56098,https://myanimelist.net56098,Anime Legend Chronicles Vol. 84,Space captain Jack navigates the dangerous outer rims of galaxy 9. Will he survive the alien invasion? Find out in 2026! [Episode ID: 49],"Romance, Sci-Fi",Special,MAPPA,"Nov 15, 1990",32.0,32639,Low
25096,https://myanimelist.net25096,Anime Legend Chronicles Vol. 85,A comedic slice-of-life story about five high school girls starting their own rock band... containing cute moments and songs. [Episode ID: 17],Thriller,Movie,Studio_Alpha_278,May 1993,14.0,15045,High
54562,https://myanimelist.net54562,Anime Legend Chronicles Vol. 86,A comedic slice-of-life story about five high school girls starting their own rock band... containing cute moments and songs. [Episode ID: 82],"Comedy, Adventure, Drama, Slice of Life",TV,Studio Pierrot,"Apr 14, 1991",,4422,Low
90872,https://myanimelist.net90872,Anime Legend Chronicles Vol. 87,"In a world devastated by magic, a young warrior seeks revenge against the dark lord. Along the way, friends are made and lost!! [Episode ID: 20]","Slice of Life, Thriller, Adventure, Fantasy",TV,Studio_Alpha_12,"Jul 10, 2013",40.0,58598,Low
8794,https://myanimelist.net8794,Anime Legend Chronicles Vol. 88,An ancient curse awakens in modern-day Tokyo! A regular student inherits the powers of a dragon god to save his childhood friend. [Episode ID: 18],"Romance, Thriller, Supernatural, Action",OVA,,"Jun 28, 1994",47.0,22853,Low
24781,https://myanimelist.net24781,Anime Legend Chronicles Vol. 89,"A thrilling psychological game where players must bet their memories to win millions. Trust no one, betray everyone. [Episode ID: 26]",Comedy,TV,Studio_Alpha_286,Apr 1994,12.0,34445,Low
97166,https://myanimelist.net97166,Anime Legend Chronicles Vol. 90,A comedic slice-of-life story about five high school girls starting their own rock band... containing cute moments and songs. [Episode ID: 94],"Romance, Drama, Fantasy",TV,Studio_Alpha_9,1996-01-21,13.0,98260,Low
33017,https://myanimelist.net33017,Anime Legend Chronicles Vol. 91,An ancient curse awakens in modern-day Tokyo! A regular student inherits the powers of a dragon god to save his childhood friend. [Episode ID: 80],"Action, Comedy",TV,Madhouse,2018-05-11,10.0,26440,Low
14325,https://myanimelist.net14325,Anime Legend Chronicles Vol. 92,A comedic slice-of-life story about five high school girls starting their own rock band... containing cute moments and songs. [Episode ID: 43],"Comedy, Drama",Movie,Studio_Alpha_226,Feb 2008,9.0,141386,Low
34079,https://myanimelist.net34079,Anime Legend Chronicles Vol. 93,"A thrilling psychological game where players must bet their memories to win millions. Trust no one, betray everyone. [Episode ID: 87]","Thriller, Supernatural, Action",TV,Studio_Alpha_130,"May 16, 1999",30.0,709,High
56824,https://myanimelist.net56824,Anime Legend Chronicles Vol. 94,An ancient curse awakens in modern-day Tokyo! A regular student inherits the powers of a dragon god to save his childhood friend. [Episode ID: 37],Drama,TV,Bones,"Aug 25, 1992",20.0,94830,Low
70199,https://myanimelist.net70199,Anime Legend Chronicles Vol. 95,"A thrilling psychological game where players must bet their memories to win millions. Trust no one, betray everyone. [Episode ID: 98]","Romance, Supernatural, Drama, Slice of Life",TV,Studio_Alpha_137,2015-08-31,8.0,1808,High
21277,https://myanimelist.net21277,Anime Legend Chronicles Vol. 96,A comedic slice-of-life story about five high school girls starting their own rock band... containing cute moments and songs. [Episode ID: 49],"Sci-Fi, Action, Adventure, Drama",TV,Studio_Alpha_312,Mar 2000,3.0,14010,Low
36736,https://myanimelist.net36736,Anime Legend Chronicles Vol. 97,An ancient curse awakens in modern-day Tokyo! A regular student inherits the powers of a dragon god to save his childhood friend. [Episode ID: 95],"Thriller, Adventure, Sci-Fi, Supernatural",TV,Studio_Alpha_237,2016-01-20,38.0,231,Low
35466,https://myanimelist.net35466,Anime Legend Chronicles Vol. 98,Space captain Jack navigates the dangerous outer rims of galaxy 9. Will he survive the alien invasion? Find out in 2026! [Episode ID: 66],"Fantasy, Romance, Adventure",Movie,Studio Pierrot,Apr 2016,8.0,13234,Low
39587,https://myanimelist.net39587,Anime Legend Chronicles Vol. 99,"A thrilling psychological game where players must bet their memories to win millions. Trust no one, betray everyone. [Episode ID: 67]","Fantasy, Action, Comedy",Movie,Studio_Alpha_47,Mar 2018,61.0,61991,Low
35697,https://myanimelist.net35697,Anime Legend Chronicles Vol. 100,"In a world devastated by magic, a young warrior seeks revenge against the dark lord. Along the way, friends are made and lost!! [Episode ID: 41]","Drama, Sci-Fi",Special,Studio_Alpha_322,1996-11-24,17.0,3272,Low
32196,https://myanimelist.net32196,Anime Legend Chronicles Vol. 101,A comedic slice-of-life story about five high school girls starting their own rock band... containing cute moments and songs. [Episode ID: 18],Slice of Life,TV,Studio_Alpha_204,"Sep 04, 2003",17.0,209883,Low
84507,https://myanimelist.net84507,Anime Legend Chronicles Vol. 102,Space captain Jack navigates the dangerous outer rims of galaxy 9. Will he survive the alien invasion? Find out in 2026! [Episode ID: 12],"Romance, Sci-Fi, Thriller",TV,Studio_Alpha_12,"Jan 07, 1999",29.0,703,Low
38619,https://myanimelist.net38619,Anime Legend Chronicles Vol. 103,"A thrilling psychological game where players must bet their memories to win millions. Trust no one, betray everyone. [Episode ID: 80]","Comedy, Romance, Action",TV,Studio_Alpha_321,"Mar 20, 2017",19.0,3832,Low
69955,https://myanimelist.net69955,Anime Legend Chronicles Vol. 104,A comedic slice-of-life story about five high school girls starting their own rock band... containing cute moments and songs. [Episode ID: 85],Supernatural,TV,Studio_Alpha_294,"Mar 30, 1993",12.0,545,Low
94158,https://myanimelist.net94158,Anime Legend Chronicles Vol. 105,A comedic slice-of-life story about five high school girls starting their own rock band... containing cute moments and songs. [Episode ID: 10],"Drama, Slice of Life, Comedy, Thriller",TV,MAPPA,Oct 1996,7.0,9329,Low
72304,https://myanimelist.net72304,Anime Legend Chronicles Vol. 106,"In a world devastated by magic, a young warrior seeks revenge against the dark lord. Along the way, friends are made and lost!! [Episode ID: 90]","Adventure, Sci-Fi",TV,Studio_Alpha_162,May 1999,7.0,893,Low
