age,nationality,position,overall_rating,potential_rating,matches_played,goals,assists,minutes_played,market_value_million_eur,contract_years_left,injury_prone,transfer_risk_level,growth_dynamic,growth_percentage,avg_minutes_per_match,goals_per_90,assists_per_90,total_contributions,points_per_90,contract_expiry,contract_ration,career_phase,player_role_cluster,investment_class
20,5,8,62,78,46,12,0,4055,137.02,4,0,0,16,25.806451612903224,88.15217391304348,0.26633785450061653,0.0,12,0.26633785450061653,24,0.2,3,1,1
38,1,4,93,70,51,15,21,2706,171.2,2,1,1,23,-24.731182795698924,53.05882352941177,0.4988913525498892,0.6984478935698448,36,1.1973392461197339,40,0.05263157894736842,2,2,2
34,2,2,92,78,33,7,3,2099,116.45,0,0,1,14,-15.217391304347828,63.60606060606061,0.3001429252024774,0.12863268222963314,10,0.4287756074321105,34,0.0,2,2,2
28,7,5,83,81,50,7,17,2565,122.12,4,0,2,2,-2.4096385542168677,51.3,0.2456140350877193,0.5964912280701754,24,0.8421052631578948,32,0.14285714285714285,1,2,2
18,4,1,68,82,2,9,14,3017,18.97,3,0,0,14,20.588235294117645,1508.5,0.26847862114683463,0.4176334106728538,23,0.6861120318196885,21,0.16666666666666666,3,1,2
26,5,0,72,84,45,32,2,108,85.62,0,0,1,12,16.666666666666664,2.4,26.666666666666664,1.6666666666666665,34,28.333333333333336,26,0.0,0,0,2
20,2,3,61,81,38,30,6,3422,159.67,4,0,1,20,32.78688524590164,90.05263157894737,0.7890122735242548,0.15780245470485096,36,0.9468147282291058,24,0.2,3,1,1
30,0,2,66,80,7,11,5,65,43.74,4,0,1,14,21.21212121212121,9.285714285714286,15.230769230769232,6.923076923076923,16,22.153846153846153,34,0.13333333333333333,1,0,2
32,4,5,80,96,31,8,14,3081,142.01,2,0,2,16,20.0,99.38709677419355,0.23369036027263876,0.4089581304771178,22,0.6426484907497566,34,0.0625,2,1,1
31,4,1,78,73,42,36,14,4297,121.79,0,0,1,5,-6.41025641025641,102.30952380952381,0.754014428671166,0.2932278333721201,50,1.047242262043286,31,0.0,2,1,2
24,2,7,84,91,28,8,5,2948,40.53,4,0,0,7,8.333333333333332,105.28571428571429,0.24423337856173674,0.15264586160108548,13,0.3968792401628222,28,0.16666666666666666,3,1,2
30,6,5,81,97,21,17,7,213,51.26,5,0,2,16,19.753086419753085,10.142857142857142,7.183098591549296,2.9577464788732395,24,10.140845070422536,35,0.16666666666666666,1,0,1
39,3,8,70,74,19,29,7,4422,77.25,3,0,1,4,5.714285714285714,232.73684210526315,0.5902306648575305,0.14246947082767977,36,0.7327001356852103,42,0.07692307692307693,1,1,2
24,6,5,92,81,5,31,21,1040,22.96,0,1,1,11,-11.956521739130435,208.0,2.682692307692308,1.8173076923076925,52,4.5,24,0.0,0,1,2
37,2,0,91,81,42,39,0,987,164.45,5,0,1,10,-10.989010989010989,23.5,3.5562310030395134,0.0,39,3.5562310030395134,42,0.13513513513513514,1,0,2
32,4,6,80,82,48,22,12,3195,133.21,2,0,2,2,2.5,66.5625,0.6197183098591549,0.3380281690140845,34,0.9577464788732394,34,0.0625,2,2,2
29,5,7,79,87,28,10,22,503,66.01,1,0,2,8,10.126582278481013,17.964285714285715,1.7892644135188867,3.9363817097415508,32,5.725646123260437,30,0.034482758620689655,2,0,2
34,0,3,67,98,41,19,23,755,54.29,4,1,1,31,46.26865671641791,18.414634146341463,2.2649006622516556,2.741721854304636,42,5.006622516556291,38,0.11764705882352941,1,0,3
31,5,3,68,72,16,18,20,1341,124.28,1,0,2,4,5.88235294117647,83.8125,1.2080536912751678,1.342281879194631,38,2.5503355704697985,32,0.03225806451612903,2,1,2
37,5,5,84,77,30,35,12,2588,76.65,4,0,2,7,-8.333333333333332,86.26666666666667,1.2171561051004636,0.41731066460587324,47,1.6344667697063369,41,0.10810810810810811,1,1,2
29,4,6,84,87,52,25,10,1381,41.67,5,0,1,3,3.571428571428571,26.557692307692307,1.6292541636495295,0.6517016654598117,35,2.2809558291093412,34,0.1724137931034483,1,0,2
25,6,1,92,84,33,9,3,2987,77.71,2,0,1,8,-8.695652173913043,90.51515151515152,0.2711750920656177,0.09039169735520589,12,0.36156678942082354,27,0.08,0,1,2
31,0,2,61,86,37,23,6,2844,156.9,2,0,1,25,40.98360655737705,76.86486486486487,0.7278481012658229,0.18987341772151897,29,0.9177215189873417,33,0.06451612903225806,2,1,3
29,1,1,78,87,36,12,11,2519,12.81,2,0,1,9,11.538461538461538,69.97222222222223,0.4287415641127431,0.3930131004366812,23,0.8217546645494244,31,0.06896551724137931,2,3,2
17,7,2,79,67,3,33,12,3726,66.62,2,0,2,12,-15.18987341772152,1242.0,0.7971014492753623,0.2898550724637681,45,1.0869565217391304,19,0.11764705882352941,0,1,2
23,4,6,88,98,1,28,21,1887,173.24,0,0,1,10,11.363636363636363,1887.0,1.3354531001589824,1.0015898251192368,49,2.337042925278219,23,0.0,0,1,0
25,2,2,65,97,11,35,11,1323,3.16,0,0,1,32,49.23076923076923,120.27272727272727,2.380952380952381,0.7482993197278911,46,3.129251700680272,25,0.0,0,1,3
17,1,0,76,81,34,6,15,3809,160.37,4,1,0,5,6.578947368421052,112.02941176470588,0.14176949330532948,0.35442373326332366,21,0.4961932265686532,21,0.23529411764705882,3,1,2
28,7,5,84,83,5,29,5,3747,67.78,0,0,1,1,-1.1904761904761905,749.4,0.6965572457966374,0.1200960768614892,34,0.8166533226581265,28,0.0,2,1,2
24,2,1,63,94,45,16,13,2131,34.52,4,0,1,31,49.2063492063492,47.355555555555554,0.675739089629282,0.5490380103237916,29,1.2247770999530736,28,0.16666666666666666,3,2,3
27,5,0,89,87,7,12,18,2424,3.19,0,0,2,2,-2.247191011235955,346.2857142857143,0.44554455445544555,0.6683168316831682,30,1.113861386138614,27,0.0,0,1,0
35,3,1,79,79,20,23,15,3384,13.16,0,0,1,0,0.0,169.2,0.6117021276595745,0.398936170212766,38,1.0106382978723405,35,0.0,2,1,2
33,2,5,62,78,52,30,3,2251,31.35,0,0,1,16,25.806451612903224,43.28846153846154,1.1994669035984007,0.11994669035984008,33,1.3194135939582408,33,0.0,2,2,1
24,0,4,82,66,45,26,4,1008,5.06,3,0,2,16,-19.51219512195122,22.4,2.321428571428571,0.3571428571428571,30,2.6785714285714284,27,0.125,3,0,2
19,0,2,77,82,34,20,8,1317,60.79,2,0,0,5,6.493506493506493,38.73529411764706,1.366742596810934,0.5466970387243736,28,1.9134396355353074,21,0.10526315789473684,0,2,2
19,3,6,85,70,47,0,23,3216,8.56,3,0,1,15,-17.647058823529413,68.42553191489361,0.0,0.6436567164179104,23,0.6436567164179104,22,0.15789473684210525,3,2,2
17,1,4,67,96,14,14,2,16,124.75,0,0,0,29,43.28358208955223,1.1428571428571428,78.75,11.25,16,90.0,17,0.0,0,0,3
21,7,4,76,85,6,2,21,1802,147.49,0,0,2,9,11.842105263157894,300.3333333333333,0.09988901220865705,1.048834628190899,23,1.148723640399556,21,0.0,0,1,2
26,2,3,90,92,14,5,9,2623,159.8,3,1,2,2,2.2222222222222223,187.35714285714286,0.1715592832634388,0.30880670987418984,14,0.4803659931376287,29,0.11538461538461539,3,1,0
23,0,8,92,91,44,13,16,129,99.07,5,1,2,1,-1.0869565217391304,2.9318181818181817,9.069767441860465,11.162790697674419,29,20.232558139534884,28,0.21739130434782608,3,0,0
25,1,0,86,66,5,37,18,1473,170.4,4,0,1,20,-23.25581395348837,294.6,2.260692464358452,1.0997963340122199,55,3.360488798370672,29,0.16,3,1,2
23,3,0,63,97,46,32,9,949,1.51,2,0,1,34,53.96825396825397,20.630434782608695,3.0347734457323496,0.8535300316122234,41,3.8883034773445733,25,0.08695652173913043,0,0,3
25,6,0,81,80,16,37,11,3996,24.56,4,1,1,1,-1.2345679012345678,249.75,0.8333333333333333,0.24774774774774774,48,1.0810810810810811,29,0.16,3,1,2
24,4,0,85,86,3,7,22,1068,53.12,5,0,1,1,1.1764705882352942,356.0,0.5898876404494382,1.8539325842696628,29,2.443820224719101,29,0.20833333333333334,3,1,0
28,6,4,91,77,21,25,6,4311,142.13,2,0,0,14,-15.384615384615385,205.28571428571428,0.521920668058455,0.12526096033402923,31,0.6471816283924843,30,0.07142857142857142,2,1,2
18,6,0,83,66,31,14,17,1623,159.43,1,0,2,17,-20.481927710843372,52.354838709677416,0.7763401109057301,0.9426987060998152,31,1.7190388170055453,19,0.05555555555555555,0,2,2
17,0,8,94,78,21,13,18,2895,111.46,2,1,2,16,-17.02127659574468,137.85714285714286,0.40414507772020725,0.5595854922279793,31,0.9637305699481866,19,0.11764705882352941,0,1,2
32,5,7,91,92,26,19,14,2736,69.29,4,0,2,1,1.098901098901099,105.23076923076923,0.625,0.4605263157894737,33,1.0855263157894737,36,0.125,1,1,0
39,5,5,66,71,45,18,6,2312,120.02,2,1,0,5,7.575757575757576,51.37777777777778,0.7006920415224913,0.23356401384083045,24,0.9342560553633218,41,0.05128205128205128,2,2,2
39,3,0,92,82,14,32,11,1946,32.97,1,1,0,10,-10.869565217391305,139.0,1.4799588900308325,0.5087358684480986,43,1.988694758478931,40,0.02564102564102564,2,1,2
21,2,6,90,68,43,35,21,616,82.69,1,1,2,22,-24.444444444444443,14.325581395348838,5.113636363636363,3.068181818181818,56,8.181818181818182,22,0.047619047619047616,0,0,2
19,5,7,71,94,50,23,6,1869,91.6,0,0,1,23,32.3943661971831,37.38,1.1075441412520064,0.28892455858747995,29,1.3964686998394864,19,0.0,0,2,3
28,6,6,70,88,21,9,9,300,19.32,1,1,1,18,25.71428571428571,14.285714285714286,2.6999999999999997,2.6999999999999997,18,5.3999999999999995,29,0.03571428571428571,2,0,3
24,5,6,83,84,27,33,24,984,6.58,3,1,1,1,1.2048192771084338,36.44444444444444,3.0182926829268295,2.1951219512195124,57,5.213414634146342,27,0.125,3,2,2
38,6,1,67,95,41,35,23,3691,135.14,4,1,1,28,41.7910447761194,90.02439024390245,0.8534272554863181,0.5608236250338662,58,1.4142508805201843,42,0.10526315789473684,1,1,3
19,7,6,91,88,37,35,21,3426,96.48,3,0,1,3,-3.296703296703297,92.5945945945946,0.9194395796847635,0.5516637478108581,56,1.4711033274956218,22,0.15789473684210525,3,1,0
17,0,0,81,71,8,15,19,160,60.14,5,0,0,10,-12.345679012345679,20.0,8.4375,10.6875,34,19.125,22,0.29411764705882354,3,0,2
19,0,1,93,90,33,14,9,25,78.98,3,1,0,3,-3.225806451612903,0.7575757575757576,50.400000000000006,32.4,23,82.8,22,0.15789473684210525,3,0,0
21,2,3,78,77,35,17,24,82,172.41,4,0,2,1,-1.282051282051282,2.342857142857143,18.65853658536585,26.341463414634145,41,45.0,25,0.19047619047619047,3,0,2
31,5,4,79,72,8,6,22,172,69.59,5,0,2,7,-8.860759493670885,21.5,3.13953488372093,11.511627906976745,28,14.651162790697676,36,0.16129032258064516,1,0,2
30,5,6,73,69,14,21,4,998,19.07,3,1,2,4,-5.47945205479452,71.28571428571429,1.8937875751503006,0.3607214428857715,25,2.2545090180360723,33,0.1,1,1,2
19,4,8,92,77,44,31,17,3141,83.72,3,1,1,15,-16.304347826086957,71.38636363636364,0.8882521489971347,0.4871060171919771,48,1.3753581661891117,22,0.15789473684210525,3,1,2
17,1,5,69,93,19,18,8,2882,116.82,5,1,0,24,34.78260869565217,151.68421052631578,0.5621096460791117,0.2498265093684941,26,0.8119361554476059,22,0.29411764705882354,3,1,3
21,7,6,75,84,7,39,15,4101,2.67,3,0,1,9,12.0,585.8571428571429,0.8558888076079005,0.32918800292611555,54,1.185076810534016,24,0.14285714285714285,3,1,2
39,0,3,63,78,27,0,6,2843,60.16,1,0,2,15,23.809523809523807,105.29629629629629,0.0,0.18994020400984876,6,0.18994020400984876,40,0.02564102564102564,2,1,1
30,7,2,86,96,50,34,24,2110,71.14,4,1,1,10,11.627906976744185,42.2,1.4502369668246446,1.0236966824644549,58,2.4739336492890995,34,0.13333333333333333,1,2,0
23,0,3,87,91,18,4,24,3084,83.74,4,1,0,4,4.597701149425287,171.33333333333334,0.11673151750972763,0.7003891050583657,28,0.8171206225680935,27,0.17391304347826086,3,1,0
25,7,2,75,89,15,11,9,2045,54.65,4,0,2,14,18.666666666666668,136.33333333333334,0.4841075794621027,0.3960880195599022,20,0.8801955990220048,29,0.16,3,1,2
31,3,3,92,68,10,11,4,760,120.21,3,0,2,24,-26.08695652173913,76.0,1.3026315789473684,0.47368421052631576,15,1.776315789473684,34,0.0967741935483871,1,1,2
31,6,4,78,85,41,20,6,204,170.08,1,0,1,7,8.974358974358974,4.975609756097561,8.823529411764707,2.6470588235294117,26,11.470588235294116,32,0.03225806451612903,2,0,2
26,0,5,80,82,7,18,4,3102,164.56,4,0,1,2,2.5,443.14285714285717,0.5222437137330754,0.11605415860735009,22,0.6382978723404256,30,0.15384615384615385,3,1,2
29,7,3,81,79,32,8,14,2035,119.76,2,0,2,2,-2.4691358024691357,63.59375,0.3538083538083538,0.6191646191646192,22,0.972972972972973,31,0.06896551724137931,2,2,2
35,5,2,68,88,9,35,18,1552,91.49,4,1,1,20,29.411764705882355,172.44444444444446,2.029639175257732,1.0438144329896908,53,3.0734536082474224,39,0.11428571428571428,1,1,3
23,1,6,68,72,17,31,9,824,148.73,0,0,0,4,5.88235294117647,48.470588235294116,3.3859223300970873,0.9830097087378641,40,4.368932038834951,23,0.0,0,2,2
33,3,4,68,92,34,34,7,2956,150.55,2,1,0,24,35.294117647058826,86.94117647058823,1.0351826792963463,0.21312584573748308,41,1.2483085250338295,35,0.06060606060606061,2,1,3
36,3,4,86,85,42,30,23,3748,149.41,4,1,2,1,-1.1627906976744187,89.23809523809524,0.7203842049092849,0.5522945570971184,53,1.2726787620064035,40,0.1111111111111111,1,1,0
20,1,6,76,80,49,31,8,2445,28.83,3,0,1,4,5.263157894736842,49.89795918367347,1.1411042944785277,0.294478527607362,39,1.4355828220858897,23,0.15,3,2,2
21,7,8,67,80,2,36,10,3896,5.07,4,0,0,13,19.402985074626866,1948.0,0.8316221765913757,0.23100616016427103,46,1.0626283367556468,25,0.19047619047619047,3,1,2
39,5,1,75,81,39,31,21,838,176.98,1,0,1,6,8.0,21.487179487179485,3.3293556085918854,2.2553699284009547,52,5.58472553699284,40,0.02564102564102564,2,0,2
23,2,5,77,73,26,36,1,3683,172.76,1,1,1,4,-5.194805194805195,141.65384615384616,0.8797176215042085,0.024436600597339125,37,0.9041542221015476,24,0.043478260869565216,0,1,2
29,1,5,92,93,27,38,2,1961,101.81,4,0,1,1,1.0869565217391304,72.62962962962963,1.7440081591024987,0.09178990311065784,40,1.8357980622131567,33,0.13793103448275862,1,1,0
31,7,8,60,82,45,37,12,937,178.75,3,0,1,22,36.666666666666664,20.822222222222223,3.553895410885806,1.152614727854856,49,4.706510138740661,34,0.0967741935483871,1,0,1
27,1,1,71,76,5,29,10,2931,138.81,3,0,2,5,7.042253521126761,586.2,0.8904810644831116,0.3070624360286592,39,1.1975435005117707,30,0.1111111111111111,3,1,2
20,1,5,65,83,46,31,9,424,93.37,3,0,1,18,27.692307692307693,9.217391304347826,6.580188679245283,1.910377358490566,40,8.49056603773585,23,0.15,3,0,1
29,0,2,64,86,13,1,14,3310,70.38,4,1,2,22,34.375,254.6153846153846,0.027190332326283987,0.3806646525679758,15,0.40785498489425986,33,0.13793103448275862,1,1,3
23,7,7,75,79,6,10,5,3051,106.92,4,0,2,4,5.333333333333334,508.5,0.2949852507374631,0.14749262536873156,15,0.44247787610619466,27,0.17391304347826086,3,1,2
35,2,7,77,65,9,19,0,2905,93.09,0,0,2,12,-15.584415584415584,322.77777777777777,0.5886402753872634,0.0,19,0.5886402753872634,35,0.0,2,1,2
38,6,5,77,66,14,36,13,2137,178.89,1,0,1,11,-14.285714285714285,152.64285714285714,1.5161441272812355,0.5474964904071128,49,2.0636406176883484,39,0.02631578947368421,2,1,2
